id,Цена,Год,Площадь,Класс,Количество_больниц,Количество_школ,Количество_парков,Количество_метро
0,5450380.200376016,2009,36.745987321616674,Стандарт,2,3,1,1
1,2636762.572313026,1971,21.731596599391594,Эконом,1,2,0,1
2,5820841.772845536,2001,39.72977538266338,Стандарт,3,2,1,1
3,5677622.597608135,2001,39.52956595050471,Стандарт,1,3,1,1
4,3080649.5675160848,1961,27.233552662814517,Эконом,1,1,0,1
5,16433955.365090081,2020,86.1449852080797,Люкс,6,5,6,3
6,2898090.270188161,1980,25.347475404623047,Эконом,1,1,0,1
7,5386519.795550869,2008,38.9840407529061,Стандарт,1,1,1,1
8,5157059.941402142,2010,35.115644574500216,Стандарт,3,1,1,1
9,2956367.1172816455,1973,26.04835511689967,Эконом,1,1,0,1
10,2232904.059936039,1983,18.5466960298451,Эконом,1,1,0,1
11,5022654.52417129,2008,36.114789493212264,Стандарт,1,1,1,1
12,15479963.808047397,2017,81.85214415434451,Люкс,6,5,5,2
13,5092584.0241961805,2005,35.39304630041155,Стандарт,2,1,1,1
14,15044139.193231983,2021,76.66604607627211,Люкс,6,6,6,2
15,5279410.653389272,2003,38.269490048142075,Стандарт,1,1,1,1
16,16783148.82275718,2019,88.30604676147021,Люкс,5,6,6,3
17,2988430.1777191097,1989,27.327901309586753,Эконом,0,1,0,1
18,15711903.627457786,2020,79.11494019504737,Люкс,7,7,6,2
19,17779109.52483749,2023,92.92143421057665,Люкс,7,6,7,2
20,3057518.530097433,1956,25.813362169907265,Эконом,1,2,0,1
21,5388569.485599186,2005,38.84886807452987,Стандарт,1,1,1,1
22,3249156.5241042776,1961,27.73200702643797,Эконом,1,2,0,1
23,2401827.03812754,1975,19.431131881464303,Эконом,1,2,0,1
24,5428131.407865846,2001,37.3145444118432,Стандарт,3,1,1,1
25,5414522.781713888,2009,37.4235533111987,Стандарт,3,1,1,1
26,2331103.8061042046,1988,18.78364139669594,Эконом,1,2,0,1
27,2183878.822354346,1961,18.191167094483006,Эконом,0,2,0,1
28,5500691.07744178,2002,38.05063884242051,Стандарт,2,2,1,1
29,5499822.0518648755,2008,38.74958839203691,Стандарт,2,1,1,1
30,5123092.932039983,2004,35.74399080405657,Стандарт,2,1,1,1
31,3219878.665359662,1959,27.675268593690838,Эконом,1,2,0,1
32,17574123.66466998,2019,93.7415464967074,Люкс,5,7,6,2
33,5457869.122627906,2004,37.64451786284288,Стандарт,1,3,1,1
34,2377449.2677933206,1951,19.262233832242085,Эконом,1,2,0,1
35,3066561.381279953,1954,27.15865413633432,Эконом,0,2,0,1
36,5273907.398068439,2001,36.08332546582942,Стандарт,3,1,1,1
37,17300508.241680562,2017,91.92511099302861,Люкс,7,5,5,3
38,16727371.185943516,2020,86.15118664079614,Люкс,6,7,7,2
39,18417572.056844655,2021,98.26733342686717,Люкс,7,6,6,2
40,2832153.0989840464,1980,24.585306895197277,Эконом,1,1,0,1
41,2110804.6045877724,1983,18.437859664639333,Эконом,0,1,0,1
42,2452880.5075230305,1964,22.01814073118794,Эконом,0,1,0,1
43,5362067.322753753,2002,36.815003721632685,Стандарт,1,3,1,1
44,3079237.3631706913,1987,28.181496445885934,Эконом,0,1,0,1
45,2295679.080350422,1962,19.346461788149163,Эконом,1,1,0,1
46,14246927.109332837,2020,71.52866407879841,Люкс,6,6,5,3
47,15448194.648422483,2018,78.39824997559616,Люкс,5,7,6,3
48,18241802.304365642,2019,99.18212122221364,Люкс,6,6,5,2
49,15676802.88048912,2023,79.95685787610853,Люкс,5,6,7,3
50,5828572.270470389,2000,39.687077994647076,Стандарт,2,3,1,1
51,14612724.33054986,2017,72.94895328769825,Люкс,6,6,6,3
52,5373615.972898488,2009,35.70058385761372,Стандарт,2,3,1,1
53,3265122.5312022837,1971,28.979564617750313,Эконом,1,1,0,1
54,2626600.1392066414,1974,22.718841347412354,Эконом,1,1,0,1
55,15877355.287726633,2023,81.34455462635864,Люкс,7,5,6,3
56,5237036.139863864,2004,36.90012732090927,Стандарт,1,2,1,1
57,4992290.5739481505,2003,35.695434847817,Стандарт,1,1,1,1
58,14928172.882321266,2021,74.9831664484365,Люкс,6,7,6,2
59,13709373.400839087,2018,70.04605479231104,Люкс,5,5,6,2
60,2466234.544905269,1977,21.098328256869806,Эконом,1,1,0,1
61,3049540.1769286525,1962,25.701139139387514,Эконом,1,2,0,1
62,16136888.234768614,2021,85.0637227902172,Люкс,5,6,5,3
63,16336187.03629715,2019,82.3631872904931,Люкс,7,6,7,3
64,17870830.095339008,2020,93.53546075760919,Люкс,6,6,7,3
65,5206361.101463733,2008,35.4336693519434,Стандарт,3,1,1,1
66,17910149.983889278,2018,96.7354664837616,Люкс,5,5,7,2
67,2394704.910575541,1982,19.18505339746291,Эконом,1,2,0,1
68,5620426.056291669,2004,38.104243842582214,Стандарт,3,2,1,1
69,2614535.529182361,1960,23.624462646956623,Эконом,0,1,0,1
70,16022158.185307337,2019,83.3306919943927,Люкс,5,7,5,3
71,2771249.0019121333,1985,24.02265295753119,Эконом,1,1,0,1
72,5706299.533012912,2010,39.66056866995389,Стандарт,2,2,1,1
73,2566968.680781449,1965,21.064296580747087,Эконом,1,2,0,1
74,5520650.383451021,2000,38.161943346480186,Стандарт,3,1,1,1
75,2919504.932259903,1984,25.582048375842675,Эконом,1,1,0,1
76,5199576.622349039,2000,36.64151479550989,Стандарт,1,2,1,1
77,2183103.3696008944,1966,18.307563047214256,Эконом,0,2,0,1
78,2770054.4565007216,1972,23.92595441382474,Эконом,0,2,0,1
79,16079818.53164559,2019,81.83266232992284,Люкс,7,6,6,3
80,5417410.8773427745,2003,38.20029138753367,Стандарт,2,1,1,1
81,3039907.765631267,1988,27.72375783981413,Эконом,0,1,0,1
82,17373674.19964208,2020,91.45761735406978,Люкс,7,5,6,3
83,2148238.854498882,1952,18.77847580882366,Эконом,0,1,0,1
84,2942129.202055771,1970,25.760668606364494,Эконом,0,2,0,1
85,5701243.507345716,2006,38.58624695193127,Стандарт,3,2,1,1
86,5192844.720702907,2006,35.33586369410993,Стандарт,2,2,1,1
87,5562856.808329957,2010,36.32694710830317,Стандарт,3,3,1,1
88,5443889.207213205,2001,36.64327721470725,Стандарт,2,3,1,1
89,2201738.748198268,1962,18.37812338929467,Эконом,0,2,0,1
90,5059120.275231823,2007,35.307006693662764,Стандарт,2,1,1,1
91,5938581.0046270825,2010,39.45565496431429,Стандарт,3,3,1,1
92,3200518.4608119684,1967,28.502544648585193,Эконом,1,1,0,1
93,18022615.77017768,2020,98.57561643185005,Люкс,5,5,6,2
94,3191629.5611077095,1981,28.15401530437441,Эконом,1,1,0,1
95,18186717.079290174,2019,98.6965751310636,Люкс,5,6,5,3
96,14582984.213028388,2019,72.70109256708514,Люкс,7,5,7,2
97,2545558.9436686425,1984,20.783761057509132,Эконом,1,2,0,1
98,5696580.762860256,2001,39.48451646030107,Стандарт,2,2,1,1
99,5660724.347425077,2010,39.233381387228235,Стандарт,3,1,1,1
100,16627584.587835774,2018,85.3973301810897,Люкс,7,7,6,2
101,16133179.924156465,2022,85.20190306861318,Люкс,5,5,6,3
102,17457339.832933094,2020,92.83024271698767,Люкс,5,7,6,2
103,2515935.795137803,1968,21.49054129217873,Эконом,0,2,0,1
104,2521808.662102646,1968,20.60357744335083,Эконом,1,2,0,1
105,5525586.36805963,2003,38.05598480335021,Стандарт,3,1,1,1
106,5515276.544996008,2005,35.96960868455557,Стандарт,3,3,1,1
107,16302799.220465366,2019,85.16764820845412,Люкс,6,7,5,2
108,18435035.925536316,2019,98.42453288662422,Люкс,5,6,7,3
109,17542888.662549887,2017,94.4476835375403,Люкс,6,5,5,3
110,5271021.569591037,2006,35.84329885707624,Стандарт,3,1,1,1
111,5631180.515959694,2003,38.973823967624384,Стандарт,2,2,1,1
112,14451308.564509999,2019,71.80232070301939,Люкс,7,7,5,2
113,16424325.480907537,2022,87.131455051599,Люкс,5,6,5,3
114,2346919.6121469024,1972,20.877390211697115,Эконом,0,1,0,1
115,5357675.779270531,2006,37.6108757451123,Стандарт,1,2,1,1
116,15626819.272817021,2017,81.69723097196294,Люкс,5,5,7,2
117,2440661.9803026216,1956,20.811088955169403,Эконом,1,1,0,1
118,15513537.656806258,2023,79.82666775366249,Люкс,6,5,6,3
