id,Пол,Возраст,Вес,Проффесия,Высшее_образование
0,М,63,83,Сантехник,Да
1,М,63,83,Сантехник,Да
2,Ж,50,81,Тренер по киберспорту,Да
3,Ж,50,73,Тренер по легкой атлетике,Да
4,М,50,73,Крановщик,Да
5,М,50,73,Крановщик,Да
6,М,29,75,Backend-разработчик,Да
7,М,29,75,Backend-разработчик,Да
8,М,29,75,Backend-разработчик,Да
9,М,25,57,,Да
10,М,25,57,,Да
11,М,25,57,,Да
12,М,66,74,Крановщик,Да
13,Ж,48,90,Тренер по киберспорту,Да
14,М,24,86,Frontend-разработчик,Да
15,Ж,79,93,Тренер по киберспорту,Да
16,Ж,49,88,Тренер по волейболу,Да
17,Ж,74,100,Тренер по футболу,Да
18,Ж,74,100,Тренер по футболу,Да
19,М,57,70,Токарь,Да
20,М,57,70,Токарь,Да
21,М,57,70,Токарь,Да
22,М,66,73,Сварщик,Да
23,М,66,73,Сварщик,Да
24,М,68,97,Тренер по волейболу,Да
25,Ж,20,51,Блогер,Нет
26,Ж,282,90,Тренер по фитнесу,Да
27,Ж,29,55,,Да
28,Ж,19,42,SMM-специалист,Нет
29,Ж,19,42,SMM-специалист,Нет
30,М,28,56,Тестировщик,Да
31,М,45,78,Токарь,Да
32,М,75,84,Сварщик,Да
33,М,23,71,Backend-разработчик,Да
34,М,49,90,Маляр,Да
35,М,26,46,Backend-разработчик,Да
36,Ж,30,51,Backend-разработчик,Да
37,Ж,30,51,Backend-разработчик,Да
38,Ж,22,47,SMM-специалист,Нет
39,Ж,20,53,Backend-разработчик,Да
40,Ж,24,73,Backend-разработчик,Да
41,Ж,19,54,SMM-специалист,Нет
42,Ж,18,50,Таргетолог,Нет
43,Ж,18,50,Таргетолог,Нет
44,М,74,91,Маляр,Да
45,М,65,88,Токарь,Да
46,М,78,72,Тренер по волейболу,Да
47,М,55,78,Токарь,Да
48,М,74,85,Сантехник,Да
49,М,74,85,Сантехник,Да
50,Ж,67,77,Тренер по легкой атлетике,Да
51,М,74,72,Токарь,Да
52,М,29,68,Frontend-разработчик,Да
53,Ж,21,1435,Таргетолог,Нет
54,Ж,30,47,Backend-разработчик,Да
55,Ж,19,51,Фотограф,Нет
56,Ж,20,50,Копирайтер,Нет
57,Ж,24,55,Backend-разработчик,Да
58,Ж,24,55,Backend-разработчик,Да
59,Ж,24,55,Backend-разработчик,Да
60,Ж,24,55,Backend-разработчик,Да
61,Ж,24,55,Backend-разработчик,Да
62,М,60,75,Тренер по киберспорту,Да
63,Ж,20,56,Таргетолог,Нет
64,Ж,26,70,IOS-разработчик,Да
65,М,27,63,Data scientist,Да
66,М,48,83,Тренер по волейболу,Да
67,Ж,22,45,SMM-специалист,Нет
68,М,52,87,Маляр,Да
69,М,52,92,Маляр,Да
70,Ж,26,68,Frontend-разработчик,Да
71,М,224,86,Тренер по легкой атлетике,Да
72,Ж,49,80,Тренер по легкой атлетике,Да
73,Ж,206,78,Тренер по футболу,Да
74,Ж,47,70,Тренер по киберспорту,Да
75,Ж,21,1993,SMM-специалист,Нет
76,Ж,21,1646,Копирайтер,Нет
77,Ж,21,1646,Копирайтер,Нет
78,М,74,98,Тренер по фитнесу,Да
79,Ж,65,100,Тренер по футболу,Да
80,Ж,22,41,Фотограф,Нет
81,Ж,22,41,Фотограф,Нет
82,Ж,29,46,Data scientist,Да
83,Ж,29,46,Data scientist,Да
84,,50,94,Сантехник,Да
85,М,49,83,Сварщик,Да
86,Ж,27,81,Тестировщик,Да
87,М,51,78,Сварщик,Да
88,Ж,47,91,Тренер по легкой атлетике,Да
89,Ж,47,91,Тренер по легкой атлетике,Да
90,Ж,22,44,Копирайтер,Нет
91,М,73,83,Маляр,Да
92,Ж,22,59,Блогер,Нет
93,Ж,22,59,Блогер,Нет
94,М,64,84,Тренер по киберспорту,Да
95,Ж,59,84,Тренер по киберспорту,Да
96,М,30,74,,Да
97,М,30,74,,Да
98,М,30,74,,Да
99,М,73,84,Крановщик,Да
100,Ж,68,99,Тренер по волейболу,Да
101,Ж,68,99,Тренер по волейболу,Да
102,Ж,68,99,Тренер по волейболу,Да
103,М,74,84,Тренер по киберспорту,Да
104,Ж,49,100,Тренер по киберспорту,Да
105,Ж,21,56,Тестировщик,Да
106,Ж,22,60,SMM-специалист,Нет
107,Ж,23,44,Фотограф,Нет
108,М,26,42,IOS-разработчик,Да
109,Ж,21,1085,Фотограф,Нет
110,М,55,70,Маляр,Да
111,М,55,70,Маляр,Да
112,М,46,78,Сантехник,Да
113,Ж,78,77,Тренер по волейболу,Да
114,Ж,20,47,Блогер,Нет
115,Ж,25,78,IOS-разработчик,Да
116,Ж,18,59,Таргетолог,Нет
117,Ж,22,59,Копирайтер,Нет
118,Ж,22,59,Копирайтер,Нет
119,Ж,18,47,Таргетолог,Нет
120,Ж,57,73,Тренер по волейболу,Да
121,,56,79,Токарь,Да
122,Ж,18,45,Фотограф,Нет
123,М,61,78,Токарь,Да
124,Ж,21,47,Блогер,Нет
125,Ж,73,100,Тренер по футболу,Да
126,Ж,73,100,Тренер по футболу,Да
127,М,69,85,Крановщик,Да
128,М,48,82,Сантехник,Да
129,М,23,70,Тестировщик,Да
130,Ж,79,82,Тренер по футболу,Да
131,Ж,72,99,Тренер по футболу,Да
132,Ж,20,46,,Да
133,Ж,18,56,SMM-специалист,Нет
134,М,47,98,Сантехник,Да
135,М,47,98,Сантехник,Да
136,М,69,98,Токарь,Да
137,Ж,28,42,Data scientist,Да
138,М,65,97,Тренер по волейболу,Да
139,М,49,98,Тренер по легкой атлетике,Да
140,М,49,98,Тренер по легкой атлетике,Да
141,М,54,83,Маляр,Да
142,М,54,83,Маляр,Да
143,М,28,81,Data scientist,Да
144,М,23,43,Backend-разработчик,Да
145,М,71,77,Тренер по футболу,Да
146,М,71,77,Тренер по футболу,Да
147,Ж,71,87,Тренер по футболу,Да
148,М,69,98,Токарь,Да
149,М,29,55,Backend-разработчик,Да
150,Ж,26,86,Data scientist,Да
151,М,22,63,Frontend-разработчик,Да
152,М,264,95,Тренер по футболу,Да
153,М,69,74,Тренер по волейболу,Да
154,Ж,23,65,Data scientist,Да
155,Ж,65,95,Тренер по волейболу,Да
156,Ж,65,95,Тренер по волейболу,Да
157,Ж,24,58,SMM-специалист,Нет
158,Ж,24,58,SMM-специалист,Нет
159,М,54,84,Сантехник,Да
160,Ж,22,88,Backend-разработчик,Да
161,Ж,22,61,Frontend-разработчик,Да
162,М,20,43,Backend-разработчик,Да
163,М,20,43,Backend-разработчик,Да
164,М,66,84,Сварщик,Да
165,М,46,73,Крановщик,Да
166,М,72,91,Токарь,Да
167,Ж,28,58,Data scientist,Да
168,М,47,87,Токарь,Да
169,Ж,18,40,Таргетолог,Нет
170,М,26,77,Тестировщик,Да
171,М,26,77,Тестировщик,Да
172,Ж,72,70,Тренер по волейболу,Да
173,Ж,20,90,Backend-разработчик,Да
174,М,24,64,Тестировщик,Да
175,Ж,27,53,Data scientist,Да
176,Ж,28,73,IOS-разработчик,Да
177,Ж,21,59,SMM-специалист,Нет
178,Ж,20,84,Тестировщик,Да
179,Ж,18,42,Копирайтер,Нет
180,Ж,18,42,Копирайтер,Нет
181,Ж,19,48,SMM-специалист,Нет
182,Ж,71,99,Тренер по фитнесу,Да
183,Ж,71,99,Тренер по фитнесу,Да
184,М,24,71,Backend-разработчик,Да
185,Ж,29,89,Тестировщик,Да
186,М,29,53,,Да
187,Ж,77,93,Тренер по волейболу,Да
188,Ж,20,76,Frontend-разработчик,Да
189,М,45,71,Тренер по фитнесу,Да
190,Ж,27,88,Backend-разработчик,Да
191,Ж,25,49,Фотограф,Нет
192,Ж,55,76,Тренер по легкой атлетике,Да
193,М,56,86,Тренер по фитнесу,Да
194,М,63,99,Тренер по футболу,Да
195,М,63,99,Тренер по футболу,Да
196,Ж,221,93,Тренер по фитнесу,Да
197,Ж,22,51,SMM-специалист,Нет
198,М,25,67,Backend-разработчик,Да
199,Ж,29,46,Тестировщик,Да
200,М,27,47,Backend-разработчик,Да
201,Ж,30,55,IOS-разработчик,Да
202,Ж,25,48,Блогер,Нет
203,М,76,81,Сантехник,Да
204,Ж,23,60,Backend-разработчик,Да
205,М,68,84,Крановщик,Да
206,М,60,97,Сантехник,Да
207,М,76,92,Крановщик,Да
208,М,28,59,Тестировщик,Да
209,М,30,56,Frontend-разработчик,Да
210,М,30,56,Frontend-разработчик,Да
211,М,53,98,Сантехник,Да
212,М,76,76,Тренер по футболу,Да
213,М,25,47,Backend-разработчик,Да
214,Ж,48,70,Тренер по легкой атлетике,Да
215,М,70,76,Крановщик,Да
216,Ж,25,40,Фотограф,Нет
217,Ж,22,56,Копирайтер,Нет
218,М,30,71,IOS-разработчик,Да
219,Ж,21,47,Копирайтер,Нет
220,Ж,21,47,Копирайтер,Нет
221,М,72,71,Сантехник,Да
222,М,72,71,Сантехник,Да
223,Ж,23,48,Таргетолог,Нет
224,Ж,224,92,Тренер по киберспорту,Да
225,М,56,95,Сварщик,Да
226,Ж,57,87,Тренер по фитнесу,Да
227,,45,75,Крановщик,Да
228,М,26,85,IOS-разработчик,Да
229,Ж,48,77,Тренер по волейболу,Да
230,Ж,18,1670,SMM-специалист,Нет
231,Ж,24,46,Фотограф,Нет
232,Ж,58,95,Тренер по футболу,Да
233,Ж,26,76,IOS-разработчик,Да
234,М,30,44,Backend-разработчик,Да
235,М,30,44,Backend-разработчик,Да
